Survived,Pclass,Age,Fare,Sex,Embarked
0,3 класс,22.0,7.25,male,S
1,1 класс,38.0,71.2833,female,C
1,3 класс,26.0,7.925,female,S
1,1 класс,35.0,53.1,female,S
0,3 класс,35.0,8.05,male,S
0,3 класс,28.0,8.4583,male,Q
0,1 класс,54.0,51.8625,male,S
0,3 класс,2.0,21.075,male,S
1,3 класс,27.0,11.1333,female,S
1,2 класс,14.0,30.0708,female,C
1,3 класс,4.0,16.7,female,S
1,1 класс,58.0,26.55,female,S
0,3 класс,20.0,8.05,male,S
0,3 класс,39.0,31.275,male,S
0,3 класс,14.0,7.8542,female,S
1,2 класс,55.0,16.0,female,S
0,3 класс,2.0,29.125,male,Q
1,2 класс,28.0,13.0,male,S
0,3 класс,31.0,18.0,female,S
1,3 класс,28.0,7.225,female,C
0,2 класс,35.0,26.0,male,S
1,2 класс,34.0,13.0,male,S
1,3 класс,15.0,8.0292,female,Q
1,1 класс,28.0,35.5,male,S
0,3 класс,8.0,21.075,female,S
1,3 класс,38.0,31.3875,female,S
0,3 класс,28.0,7.225,male,C
0,1 класс,19.0,263.0,male,S
1,3 класс,28.0,7.8792,female,Q
0,3 класс,28.0,7.8958,male,S
0,1 класс,40.0,27.7208,male,C
1,1 класс,28.0,146.5208,female,C
1,3 класс,28.0,7.75,female,Q
0,2 класс,66.0,10.5,male,S
0,1 класс,28.0,82.1708,male,C
0,1 класс,42.0,52.0,male,S
1,3 класс,28.0,7.2292,male,C
0,3 класс,21.0,8.05,male,S
0,3 класс,18.0,18.0,female,S
1,3 класс,14.0,11.2417,female,C
0,3 класс,40.0,9.475,female,S
0,2 класс,27.0,21.0,female,S
0,3 класс,28.0,7.8958,male,C
1,2 класс,3.0,41.5792,female,C
1,3 класс,19.0,7.8792,female,Q
0,3 класс,28.0,8.05,male,S
0,3 класс,28.0,15.5,male,Q
1,3 класс,28.0,7.75,female,Q
0,3 класс,28.0,21.6792,male,C
0,3 класс,18.0,17.8,female,S
0,3 класс,7.0,39.6875,male,S
0,3 класс,21.0,7.8,male,S
1,1 класс,49.0,76.7292,female,C
1,2 класс,29.0,26.0,female,S
0,1 класс,65.0,61.9792,male,C
1,1 класс,28.0,35.5,male,S
1,2 класс,21.0,10.5,female,S
0,3 класс,28.5,7.2292,male,C
1,2 класс,5.0,27.75,female,S
0,3 класс,11.0,46.9,male,S
0,3 класс,22.0,7.2292,male,C
1,1 класс,38.0,80.0,female,S
0,1 класс,45.0,83.475,male,S
0,3 класс,4.0,27.9,male,S
0,1 класс,28.0,27.7208,male,C
1,3 класс,28.0,15.2458,male,C
1,2 класс,29.0,10.5,female,S
0,3 класс,19.0,8.1583,male,S
1,3 класс,17.0,7.925,female,S
0,3 класс,26.0,8.6625,male,S
0,2 класс,32.0,10.5,male,S
0,3 класс,16.0,46.9,female,S
0,2 класс,21.0,73.5,male,S
0,3 класс,26.0,14.4542,male,C
1,3 класс,32.0,56.4958,male,S
0,3 класс,25.0,7.65,male,S
0,3 класс,28.0,7.8958,male,S
0,3 класс,28.0,8.05,male,S
1,2 класс,0.83,29.0,male,S
1,3 класс,30.0,12.475,female,S
0,3 класс,22.0,9.0,male,S
1,3 класс,29.0,9.5,male,S
1,3 класс,28.0,7.7875,female,Q
0,1 класс,28.0,47.1,male,S
1,2 класс,17.0,10.5,female,S
1,3 класс,33.0,15.85,female,S
0,3 класс,16.0,34.375,male,S
0,3 класс,28.0,8.05,male,S
1,1 класс,23.0,263.0,female,S
0,3 класс,24.0,8.05,male,S
0,3 класс,29.0,8.05,male,S
0,3 класс,20.0,7.8542,male,S
0,1 класс,46.0,61.175,male,S
0,3 класс,26.0,20.575,male,S
0,3 класс,59.0,7.25,male,S
0,3 класс,28.0,8.05,male,S
0,1 класс,71.0,34.6542,male,C
1,1 класс,23.0,63.3583,male,C
1,2 класс,34.0,23.0,female,S
0,2 класс,34.0,26.0,male,S
0,3 класс,28.0,7.8958,female,S
0,3 класс,28.0,7.8958,male,S
0,1 класс,21.0,77.2875,male,S
0,3 класс,33.0,8.6542,male,S
0,3 класс,37.0,7.925,male,S
0,3 класс,28.0,7.8958,male,S
1,3 класс,21.0,7.65,female,S
1,3 класс,28.0,7.775,male,S
0,3 класс,38.0,7.8958,male,S
1,3 класс,28.0,24.15,female,Q
0,1 класс,47.0,52.0,male,S
0,3 класс,14.5,14.4542,female,C
0,3 класс,22.0,8.05,male,S
0,3 класс,20.0,9.825,female,S
0,3 класс,17.0,14.4583,female,C
0,3 класс,21.0,7.925,male,S
0,3 класс,70.5,7.75,male,Q
0,2 класс,29.0,21.0,male,S
0,1 класс,24.0,247.5208,male,C
0,3 класс,2.0,31.275,female,S
0,2 класс,21.0,73.5,male,S
0,3 класс,28.0,8.05,male,S
0,2 класс,32.5,30.0708,male,C
1,2 класс,32.5,13.0,female,S
0,1 класс,54.0,77.2875,male,S
1,3 класс,12.0,11.2417,male,C
0,3 класс,28.0,7.75,male,Q
1,3 класс,24.0,7.1417,male,S
1,3 класс,28.0,22.3583,female,C
0,3 класс,45.0,6.975,male,S
0,3 класс,33.0,7.8958,male,C
0,3 класс,20.0,7.05,male,S
0,3 класс,47.0,14.5,female,S
1,2 класс,29.0,26.0,female,S
0,2 класс,25.0,13.0,male,S
0,2 класс,23.0,15.0458,male,C
1,1 класс,19.0,26.2833,female,S
0,1 класс,37.0,53.1,male,S
0,3 класс,16.0,9.2167,male,S
0,1 класс,24.0,79.2,male,C
0,3 класс,28.0,15.2458,female,C
1,3 класс,22.0,7.75,female,S
1,3 класс,24.0,15.85,female,S
0,3 класс,19.0,6.75,male,Q
0,2 класс,18.0,11.5,male,S
0,2 класс,19.0,36.75,male,S
1,3 класс,27.0,7.7958,male,S
0,3 класс,9.0,34.375,female,S
0,2 класс,36.5,26.0,male,S
0,2 класс,42.0,13.0,male,S
0,2 класс,51.0,12.525,male,S
1,1 класс,22.0,66.6,female,S
0,3 класс,55.5,8.05,male,S
0,3 класс,40.5,14.5,male,S
0,3 класс,28.0,7.3125,male,S
0,1 класс,51.0,61.3792,male,C
1,3 класс,16.0,7.7333,female,Q
0,3 класс,30.0,8.05,male,S
0,3 класс,28.0,8.6625,male,S
0,3 класс,28.0,69.55,male,S
0,3 класс,44.0,16.1,male,S
1,2 класс,40.0,15.75,female,S
0,3 класс,26.0,7.775,male,S
0,3 класс,17.0,8.6625,male,S
0,3 класс,1.0,39.6875,male,S
1,3 класс,9.0,20.525,male,S
1,1 класс,28.0,55.0,female,S
0,3 класс,45.0,27.9,female,S
0,1 класс,28.0,25.925,male,S
0,3 класс,28.0,56.4958,male,S
0,1 класс,61.0,33.5,male,S
0,3 класс,4.0,29.125,male,Q
1,3 класс,1.0,11.1333,female,S
0,3 класс,21.0,7.925,male,S
0,1 класс,56.0,30.6958,male,C
0,3 класс,18.0,7.8542,male,S
0,3 класс,28.0,25.4667,male,S
0,1 класс,50.0,28.7125,female,C
0,2 класс,30.0,13.0,male,S
0,3 класс,36.0,0.0,male,S
0,3 класс,28.0,69.55,female,S
0,2 класс,28.0,15.05,male,C
0,3 класс,9.0,31.3875,male,S
1,2 класс,1.0,39.0,male,S
1,3 класс,4.0,22.025,female,S
0,1 класс,28.0,50.0,male,S
1,3 класс,28.0,15.5,female,Q
1,1 класс,45.0,26.55,male,S
0,3 класс,40.0,15.5,male,Q
0,3 класс,36.0,7.8958,male,S
1,2 класс,32.0,13.0,female,S
0,2 класс,19.0,13.0,male,S
1,3 класс,19.0,7.8542,female,S
1,2 класс,3.0,26.0,male,S
1,1 класс,44.0,27.7208,female,C
1,1 класс,58.0,146.5208,female,C
0,3 класс,28.0,7.75,male,Q
0,3 класс,42.0,8.4042,male,S
1,3 класс,28.0,7.75,female,Q
0,2 класс,24.0,13.0,female,S
0,3 класс,28.0,9.5,male,S
0,3 класс,28.0,69.55,male,S
0,3 класс,34.0,6.4958,male,S
0,3 класс,45.5,7.225,male,C
1,3 класс,18.0,8.05,male,S
0,3 класс,2.0,10.4625,female,S
0,3 класс,32.0,15.85,male,S
1,3 класс,26.0,18.7875,male,C
1,3 класс,16.0,7.75,female,Q
1,1 класс,40.0,31.0,male,C
0,3 класс,24.0,7.05,male,S
1,2 класс,35.0,21.0,female,S
0,3 класс,22.0,7.25,male,S
0,2 класс,30.0,13.0,male,S
0,3 класс,28.0,7.75,male,Q
1,1 класс,31.0,113.275,female,C
1,3 класс,27.0,7.925,female,S
0,2 класс,42.0,27.0,male,S
1,1 класс,32.0,76.2917,female,C
0,2 класс,30.0,10.5,male,S
1,3 класс,16.0,8.05,male,S
0,2 класс,27.0,13.0,male,S
0,3 класс,51.0,8.05,male,S
0,3 класс,28.0,7.8958,male,S
1,1 класс,38.0,90.0,male,S
0,3 класс,22.0,9.35,male,S
1,2 класс,19.0,10.5,male,S
0,3 класс,20.5,7.25,male,S
0,2 класс,18.0,13.0,male,S
0,3 класс,28.0,25.4667,female,S
1,1 класс,35.0,83.475,female,S
