Survived,Age,Fare,Pclass_1,Pclass_2,Pclass_3,Embarked_1,Embarked_2,Embarked_3,Age_Male,Age_Female,Sex_Male,Sex_Female
0,22,7.25,0,0,1,1,0,0,0,1,1,0
1,38,71.28,1,0,0,0,1,0,0,1,0,1
1,26,7.92,0,0,1,1,0,0,0,1,0,1
1,35,53.1,1,0,0,1,0,0,0,1,0,1
0,35,8.05,0,0,1,1,0,0,0,1,1,0
0,28,8.46,0,0,1,0,0,1,0,1,1,0
0,54,51.86,1,0,0,1,0,0,0,1,1,0
0,2,21.07,0,0,1,1,0,0,0,1,1,0
1,27,11.13,0,0,1,1,0,0,0,1,0,1
1,14,30.07,0,1,0,0,1,0,0,1,0,1
1,4,16.7,0,0,1,1,0,0,0,1,0,1
1,58,26.55,1,0,0,1,0,0,0,1,0,1
0,20,8.05,0,0,1,1,0,0,0,1,1,0
0,39,31.27,0,0,1,1,0,0,0,1,1,0
0,14,7.85,0,0,1,1,0,0,0,1,0,1
1,55,16.0,0,1,0,1,0,0,0,1,0,1
0,2,29.12,0,0,1,0,0,1,0,1,1,0
1,28,13.0,0,1,0,1,0,0,0,1,1,0
0,31,18.0,0,0,1,1,0,0,0,1,0,1
1,28,7.22,0,0,1,0,1,0,0,1,0,1
0,35,26.0,0,1,0,1,0,0,0,1,1,0
1,34,13.0,0,1,0,1,0,0,0,1,1,0
1,15,8.03,0,0,1,0,0,1,0,1,0,1
1,28,35.5,1,0,0,1,0,0,0,1,1,0
0,8,21.07,0,0,1,1,0,0,0,1,0,1
1,38,31.39,0,0,1,1,0,0,0,1,0,1
0,28,7.22,0,0,1,0,1,0,0,1,1,0
0,19,263.0,1,0,0,1,0,0,0,1,1,0
1,28,7.88,0,0,1,0,0,1,0,1,0,1
0,28,7.9,0,0,1,1,0,0,0,1,1,0
0,40,27.72,1,0,0,0,1,0,0,1,1,0
1,28,146.52,1,0,0,0,1,0,0,1,0,1
1,28,7.75,0,0,1,0,0,1,0,1,0,1
0,66,10.5,0,1,0,1,0,0,0,1,1,0
0,28,82.17,1,0,0,0,1,0,0,1,1,0
0,42,52.0,1,0,0,1,0,0,0,1,1,0
1,28,7.23,0,0,1,0,1,0,0,1,1,0
0,21,8.05,0,0,1,1,0,0,0,1,1,0
0,18,18.0,0,0,1,1,0,0,0,1,0,1
1,14,11.24,0,0,1,0,1,0,0,1,0,1
0,40,9.47,0,0,1,1,0,0,0,1,0,1
0,27,21.0,0,1,0,1,0,0,0,1,0,1
0,28,7.9,0,0,1,0,1,0,0,1,1,0
1,3,41.58,0,1,0,0,1,0,0,1,0,1
1,19,7.88,0,0,1,0,0,1,0,1,0,1
0,28,8.05,0,0,1,1,0,0,0,1,1,0
0,28,15.5,0,0,1,0,0,1,0,1,1,0
1,28,7.75,0,0,1,0,0,1,0,1,0,1
0,28,21.68,0,0,1,0,1,0,0,1,1,0
0,18,17.8,0,0,1,1,0,0,0,1,0,1
0,7,39.69,0,0,1,1,0,0,0,1,1,0
0,21,7.8,0,0,1,1,0,0,0,1,1,0
1,49,76.73,1,0,0,0,1,0,0,1,0,1
1,29,26.0,0,1,0,1,0,0,0,1,0,1
0,65,61.98,1,0,0,0,1,0,0,1,1,0
1,28,35.5,1,0,0,1,0,0,0,1,1,0
1,21,10.5,0,1,0,1,0,0,0,1,0,1
0,28,7.23,0,0,1,0,1,0,0,1,1,0
1,5,27.75,0,1,0,1,0,0,0,1,0,1
0,11,46.9,0,0,1,1,0,0,0,1,1,0
0,22,7.23,0,0,1,0,1,0,0,1,1,0
1,38,80.0,1,0,0,1,0,0,0,1,0,1
0,45,83.47,1,0,0,1,0,0,0,1,1,0
0,4,27.9,0,0,1,1,0,0,0,1,1,0
0,28,27.72,1,0,0,0,1,0,0,1,1,0
1,28,15.25,0,0,1,0,1,0,0,1,1,0
1,29,10.5,0,1,0,1,0,0,0,1,0,1
0,19,8.16,0,0,1,1,0,0,0,1,1,0
1,17,7.92,0,0,1,1,0,0,0,1,0,1
0,26,8.66,0,0,1,1,0,0,0,1,1,0
0,32,10.5,0,1,0,1,0,0,0,1,1,0
0,16,46.9,0,0,1,1,0,0,0,1,0,1
0,21,73.5,0,1,0,1,0,0,0,1,1,0
0,26,14.45,0,0,1,0,1,0,0,1,1,0
1,32,56.5,0,0,1,1,0,0,0,1,1,0
0,25,7.65,0,0,1,1,0,0,0,1,1,0
0,28,7.9,0,0,1,1,0,0,0,1,1,0
0,28,8.05,0,0,1,1,0,0,0,1,1,0
1,1,29.0,0,1,0,1,0,0,0,1,1,0
1,30,12.47,0,0,1,1,0,0,0,1,0,1
0,22,9.0,0,0,1,1,0,0,0,1,1,0
1,29,9.5,0,0,1,1,0,0,0,1,1,0
1,28,7.79,0,0,1,0,0,1,0,1,0,1
0,28,47.1,1,0,0,1,0,0,0,1,1,0
1,17,10.5,0,1,0,1,0,0,0,1,0,1
1,33,15.85,0,0,1,1,0,0,0,1,0,1
0,16,34.38,0,0,1,1,0,0,0,1,1,0
0,28,8.05,0,0,1,1,0,0,0,1,1,0
1,23,263.0,1,0,0,1,0,0,0,1,0,1
0,24,8.05,0,0,1,1,0,0,0,1,1,0
0,29,8.05,0,0,1,1,0,0,0,1,1,0
0,20,7.85,0,0,1,1,0,0,0,1,1,0
0,46,61.17,1,0,0,1,0,0,0,1,1,0
0,26,20.57,0,0,1,1,0,0,0,1,1,0
0,59,7.25,0,0,1,1,0,0,0,1,1,0
0,28,8.05,0,0,1,1,0,0,0,1,1,0
0,71,34.65,1,0,0,0,1,0,0,1,1,0
1,23,63.36,1,0,0,0,1,0,0,1,1,0
1,34,23.0,0,1,0,1,0,0,0,1,0,1
0,34,26.0,0,1,0,1,0,0,0,1,1,0
0,28,7.9,0,0,1,1,0,0,0,1,0,1
0,28,7.9,0,0,1,1,0,0,0,1,1,0
0,21,77.29,1,0,0,1,0,0,0,1,1,0
0,33,8.65,0,0,1,1,0,0,0,1,1,0
0,37,7.92,0,0,1,1,0,0,0,1,1,0
0,28,7.9,0,0,1,1,0,0,0,1,1,0
1,21,7.65,0,0,1,1,0,0,0,1,0,1
1,28,7.78,0,0,1,1,0,0,0,1,1,0
0,38,7.9,0,0,1,1,0,0,0,1,1,0
1,28,24.15,0,0,1,0,0,1,0,1,0,1
0,47,52.0,1,0,0,1,0,0,0,1,1,0
0,14,14.45,0,0,1,0,1,0,0,1,0,1
0,22,8.05,0,0,1,1,0,0,0,1,1,0
0,20,9.82,0,0,1,1,0,0,0,1,0,1
0,17,14.46,0,0,1,0,1,0,0,1,0,1
0,21,7.92,0,0,1,1,0,0,0,1,1,0
0,70,7.75,0,0,1,0,0,1,0,1,1,0
0,29,21.0,0,1,0,1,0,0,0,1,1,0
0,24,247.52,1,0,0,0,1,0,0,1,1,0
0,2,31.27,0,0,1,1,0,0,0,1,0,1
0,21,73.5,0,1,0,1,0,0,0,1,1,0
0,28,8.05,0,0,1,1,0,0,0,1,1,0
0,32,30.07,0,1,0,0,1,0,0,1,1,0
1,32,13.0,0,1,0,1,0,0,0,1,0,1
0,54,77.29,1,0,0,1,0,0,0,1,1,0
1,12,11.24,0,0,1,0,1,0,0,1,1,0
0,28,7.75,0,0,1,0,0,1,0,1,1,0
1,24,7.14,0,0,1,1,0,0,0,1,1,0
1,28,22.36,0,0,1,0,1,0,0,1,0,1
0,45,6.97,0,0,1,1,0,0,0,1,1,0
0,33,7.9,0,0,1,0,1,0,0,1,1,0
0,20,7.05,0,0,1,1,0,0,0,1,1,0
0,47,14.5,0,0,1,1,0,0,0,1,0,1
1,29,26.0,0,1,0,1,0,0,0,1,0,1
0,25,13.0,0,1,0,1,0,0,0,1,1,0
0,23,15.05,0,1,0,0,1,0,0,1,1,0
1,19,26.28,1,0,0,1,0,0,0,1,0,1
0,37,53.1,1,0,0,1,0,0,0,1,1,0
0,16,9.22,0,0,1,1,0,0,0,1,1,0
0,24,79.2,1,0,0,0,1,0,0,1,1,0
0,28,15.25,0,0,1,0,1,0,0,1,0,1
1,22,7.75,0,0,1,1,0,0,0,1,0,1
1,24,15.85,0,0,1,1,0,0,0,1,0,1
0,19,6.75,0,0,1,0,0,1,0,1,1,0
0,18,11.5,0,1,0,1,0,0,0,1,1,0
0,19,36.75,0,1,0,1,0,0,0,1,1,0
1,27,7.8,0,0,1,1,0,0,0,1,1,0
0,9,34.38,0,0,1,1,0,0,0,1,0,1
0,36,26.0,0,1,0,1,0,0,0,1,1,0
0,42,13.0,0,1,0,1,0,0,0,1,1,0
0,51,12.53,0,1,0,1,0,0,0,1,1,0
1,22,66.6,1,0,0,1,0,0,0,1,0,1
0,56,8.05,0,0,1,1,0,0,0,1,1,0
0,40,14.5,0,0,1,1,0,0,0,1,1,0
0,28,7.31,0,0,1,1,0,0,0,1,1,0
0,51,61.38,1,0,0,0,1,0,0,1,1,0
1,16,7.73,0,0,1,0,0,1,0,1,0,1
0,30,8.05,0,0,1,1,0,0,0,1,1,0
0,28,8.66,0,0,1,1,0,0,0,1,1,0
0,28,69.55,0,0,1,1,0,0,0,1,1,0
0,44,16.1,0,0,1,1,0,0,0,1,1,0
1,40,15.75,0,1,0,1,0,0,0,1,0,1
0,26,7.78,0,0,1,1,0,0,0,1,1,0
0,17,8.66,0,0,1,1,0,0,0,1,1,0
0,1,39.69,0,0,1,1,0,0,1,1,1,0
1,9,20.52,0,0,1,1,0,0,0,1,1,0
1,28,55.0,1,0,0,1,0,0,0,1,0,1
0,45,27.9,0,0,1,1,0,0,0,1,0,1
0,28,25.93,1,0,0,1,0,0,0,1,1,0
0,28,56.5,0,0,1,1,0,0,0,1,1,0
0,61,33.5,1,0,0,1,0,0,0,1,1,0
0,4,29.12,0,0,1,0,0,1,0,1,1,0
1,1,11.13,0,0,1,1,0,0,1,1,0,1
0,21,7.92,0,0,1,1,0,0,0,1,1,0
0,56,30.7,1,0,0,0,1,0,0,1,1,0
0,18,7.85,0,0,1,1,0,0,0,1,1,0
0,28,25.47,0,0,1,1,0,0,0,1,1,0
0,50,28.71,1,0,0,0,1,0,0,1,0,1
0,30,13.0,0,1,0,1,0,0,0,1,1,0
0,36,0.0,0,0,1,1,0,0,0,1,1,0
0,28,69.55,0,0,1,1,0,0,0,1,0,1
0,28,15.05,0,1,0,0,1,0,0,1,1,0
0,9,31.39,0,0,1,1,0,0,0,1,1,0
1,1,39.0,0,1,0,1,0,0,1,1,1,0
1,4,22.02,0,0,1,1,0,0,0,1,0,1
0,28,50.0,1,0,0,1,0,0,0,1,1,0
1,28,15.5,0,0,1,0,0,1,0,1,0,1
1,45,26.55,1,0,0,1,0,0,0,1,1,0
0,40,15.5,0,0,1,0,0,1,0,1,1,0
0,36,7.9,0,0,1,1,0,0,0,1,1,0
1,32,13.0,0,1,0,1,0,0,0,1,0,1
0,19,13.0,0,1,0,1,0,0,0,1,1,0
1,19,7.85,0,0,1,1,0,0,0,1,0,1
1,3,26.0,0,1,0,1,0,0,0,1,1,0
1,44,27.72,1,0,0,0,1,0,0,1,0,1
1,58,146.52,1,0,0,0,1,0,0,1,0,1
0,28,7.75,0,0,1,0,0,1,0,1,1,0
0,42,8.4,0,0,1,1,0,0,0,1,1,0
1,28,7.75,0,0,1,0,0,1,0,1,0,1
0,24,13.0,0,1,0,1,0,0,0,1,0,1
0,28,9.5,0,0,1,1,0,0,0,1,1,0
0,28,69.55,0,0,1,1,0,0,0,1,1,0
0,34,6.5,0,0,1,1,0,0,0,1,1,0
0,46,7.22,0,0,1,0,1,0,0,1,1,0
1,18,8.05,0,0,1,1,0,0,0,1,1,0
0,2,10.46,0,0,1,1,0,0,0,1,0,1
0,32,15.85,0,0,1,1,0,0,0,1,1,0
1,26,18.79,0,0,1,0,1,0,0,1,1,0
1,16,7.75,0,0,1,0,0,1,0,1,0,1
1,40,31.0,1,0,0,0,1,0,0,1,1,0
0,24,7.05,0,0,1,1,0,0,0,1,1,0
1,35,21.0,0,1,0,1,0,0,0,1,0,1
0,22,7.25,0,0,1,1,0,0,0,1,1,0
0,30,13.0,0,1,0,1,0,0,0,1,1,0
0,28,7.75,0,0,1,0,0,1,0,1,1,0
1,31,113.28,1,0,0,0,1,0,0,1,0,1
1,27,7.92,0,0,1,1,0,0,0,1,0,1
0,42,27.0,0,1,0,1,0,0,0,1,1,0
1,32,76.29,1,0,0,0,1,0,0,1,0,1
0,30,10.5,0,1,0,1,0,0,0,1,1,0
1,16,8.05,0,0,1,1,0,0,0,1,1,0
0,27,13.0,0,1,0,1,0,0,0,1,1,0
0,51,8.05,0,0,1,1,0,0,0,1,1,0
0,28,7.9,0,0,1,1,0,0,0,1,1,0
1,38,90.0,1,0,0,1,0,0,0,1,1,0
0,22,9.35,0,0,1,1,0,0,0,1,1,0
1,19,10.5,0,1,0,1,0,0,0,1,1,0
0,20,7.25,0,0,1,1,0,0,0,1,1,0
0,18,13.0,0,1,0,1,0,0,0,1,1,0
0,28,25.47,0,0,1,1,0,0,0,1,0,1
1,35,83.47,1,0,0,1,0,0,0,1,0,1
0,29,7.78,0,0,1,1,0,0,0,1,1,0
0,59,13.5,0,1,0,1,0,0,0,1,1,0
1,5,31.39,0,0,1,1,0,0,0,1,0,1
0,24,10.5,0,1,0,1,0,0,0,1,1,0
0,28,7.55,0,0,1,1,0,0,0,1,0,1
0,44,26.0,0,1,0,1,0,0,0,1,1,0
1,8,26.25,0,1,0,1,0,0,0,1,0,1
0,19,10.5,0,1,0,1,0,0,0,1,1,0
0,33,12.28,0,1,0,1,0,0,0,1,1,0
0,28,14.45,0,0,1,0,1,0,0,1,0,1
1,28,15.5,0,0,1,0,0,1,0,1,0,1
0,29,10.5,0,1,0,1,0,0,0,1,1,0
0,22,7.12,0,0,1,1,0,0,0,1,1,0
0,30,7.22,0,0,1,0,1,0,0,1,1,0
0,44,90.0,1,0,0,0,0,1,0,1,1,0
0,25,7.78,0,0,1,1,0,0,0,1,0,1
1,24,14.5,0,1,0,1,0,0,0,1,0,1
1,37,52.55,1,0,0,1,0,0,0,1,1,0
0,54,26.0,0,1,0,1,0,0,0,1,1,0
0,28,7.25,0,0,1,1,0,0,0,1,1,0
0,29,10.46,0,0,1,1,0,0,0,1,0,1
0,62,26.55,1,0,0,1,0,0,0,1,1,0
0,30,16.1,0,0,1,1,0,0,0,1,1,0
0,41,20.21,0,0,1,1,0,0,0,1,0,1
1,29,15.25,0,0,1,0,1,0,0,1,0,1
1,28,79.2,1,0,0,0,1,0,0,1,0,1
1,30,86.5,1,0,0,1,0,0,0,1,0,1
1,35,512.33,1,0,0,0,1,0,0,1,0,1
1,50,26.0,0,1,0,1,0,0,0,1,0,1
0,28,7.75,0,0,1,0,0,1,0,1,1,0
