№ п/п	Дата отклика	Название вакансии	Комания	Ссылка на вакансию	Ответил ли рекрутер, разместивший вакансию	Предложили ли направить резюме	Результат	Причина
1	20.06.2024	 Junior/Junior+ исследователь	VisionLabs	https://t.me/datasciencejobs/2157	Да	Да	Отказ	К сожалению, в данный момент мы ищем людей с большим погружением в область компьютерного зрения, ждем, что у кандидата уже был опыт работы в коммерческих проектах.
2	20.06.2024	Помощник исследователя в области Al 	РВД Инфосистемы	https://t.me/datasciencejobs/2152	Да	Да	Отказ	К сожалению, пока руководство поставило проект на паузу. Приняли решение отложить на осень или след.год.      Написать в сентябре
3	20.06.2024	Аналитик данных	AnyQuery	https://t.me/datasciencejobs/2133	Да	Да	Отказ	К сожалению, пока что приостановили встречи, так как на текущий момент есть финалист, которому готовы сделать оффер.  Если что-то изменится, я сразу же дам знать.
4	20.06.2024	Data Analyst | Data Scientist	ВК	https://t.me/datasciencejobs/2140	Да	Да	Отказ	Боюсь, что будет не совсем релевантно под данную позицию
5	20.06.2024	ML|CV инженер	Стартап	https://t.me/datasciencejobs/2167	Да	Да	Отказ	На данный момент мы собрали команду разработки для нашего проекта. В августе мы планируем ещё расшириться, если у меня будет для вас офер, то я напишу.
6	22.06.2024	преподаватель онлайн-курса ML для финансового анализа	OTUS	https://t.me/datasciencejobs/2174	Да	Да	Отказ	Все круто, однако им нужен человек с практическим опытом 3+ года
7	24.06.2024	Data Scientist/ML Engineer (Ranking)	Самокат TECH	https://t.me/data_secrets_career/106	Получил автоответ	Да	Отказ	Без объяснения причин 
8	24.06.2024	Наставник онлайн-курсов по Machine Learning Basic 	OTUS	https://t.me/datajobschannel/2760	Да	Да	Отказ	К сожалению, не сможем предложить сотрудничество, так как недостаточно коммерческого опыта. Нужно от 2 лет
9	24.06.2024	Аналитик-специалист	АО "РТ-Техприемка" 	https://geekjob.ru/vacancy/667977677389d301b60563fa	Получил автоответ	Да	Отказ	Без объяснения причин 
10	26.06.2024	AI тренер / Специалист по обучению нейросетям	HuntIT	https://hh.ru/vacancy/96123743?hhtmFrom=chat	Да	Да	Отказ	К сожалению, Ваш обширный опыт не в полной мере соответствует нашим требованиям. Мы ищем специалиста с другим уклоном. Нам нужна визуальная составляющая сгенерированных AI запросов в портфолио
11	26.06.2024	AI-тренер / Тренер искусственного интеллекта 	ПАО МТС	https://hh.ru/vacancy/101123596?query=AI+%D1%82%D1%80%D0%B5%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list	Получил автоответ	Да	Отказ	Без объяснения причин 
12	26.06.2024	Промт-менеджер / AI-тренер / AI-креатор бренда VOIS	ООО РОКЕТ ЛАУНЧ (VOIS)	https://hh.ru/vacancy/102215631?query=AI+%D1%82%D1%80%D0%B5%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list	Получил автоответ	Да	Отказ	Без объяснения причин 
13	26.06.2024	Аналитик в IT	JOY DEV	https://hh.ru/vacancy/102122940?hhtmFrom=favorite_vacancy_list		Да	Ожидание	
14	26.06.2024	Process data analyst	Альфа-банк	https://hh.ru/vacancy/97260502?hhtmFrom=favorite_vacancy_list		Да	Ожидание	
15	26.06.2024	Ментор	ООО Фоксфорд	https://hh.ru/vacancy/96066666?hhtmFrom=favorite_vacancy_list	Получил автоответ	Да	Отказ	Без объяснения причин 
16	26.06.2024	Аналитик	ПАО МТС	https://hh.ru/vacancy/97825576?hhtmFrom=favorite_vacancy_list	Вакансия в архиве	Да	Вакансия в архиве	Без объяснения причин 
17	26.06.2024	Product Analyst (Search Tools)	Островок	https://hh.ru/vacancy/99872507?hhtmFrom=favorite_vacancy_list	Да	Да	Отказ	Без объяснения причин 
18	26.06.2024	Продуктовый аналитик middle (можно работать из-за границы)	Amex Development	https://hh.ru/vacancy/100335986?hhtmFrom=favorite_vacancy_list	Вакансия в архиве	Да	Вакансия в архиве	Вакансия перенесена в архив 
19	26.06.2024	Junior data analyst/data scientist 	Сервис Руки	https://hh.ru/vacancy/102667641?query=data+scientist&hhtmFrom=vacancy_search_list	Получил автоответ	Да	Отказ	Без объяснения причин
20	26.06.2024	Product&marketing analyst	Windy.app	https://career.habr.com/vacancies/1000136492	Да	Нет	Отказ	Вакансия уже закрыта 
21	27.06.2024	Data Engineer/ETL Engineer	Грузовая и спец. техника	https://t.me/datajobschannel/2762	Да	Да	Отказ	Вакансия уже закрыта 
22	27.06.2024	АНАЛИТИК ДАННЫХ В ОПЕРАЦИИ	Самокат TECH	https://samokat.tech/vacancies/100383207	Получил автоответ	Да	Отказ	Без объяснения причин
23	27.06.2024	Data Scientist (Ранжирование)	WILDBERRIES	https://hh.ru/vacancy/102784490?hhtmFrom=favorite_vacancy_list		Да	Ожидание	
24	27.06.2024	Аналитик	СОТКА	https://hh.ru/vacancy/102783205?hhtmFrom=favorite_vacancy_list	Получил автоответ	Да	Отказ	Без объяснения причин
25	27.06.2024	Data Analyst / Data scientist	Health & Nutrition	https://hh.ru/vacancy/102785609?hhtmFrom=favorite_vacancy_list		Да	Ожидание	
26	27.06.2024	Junior Knowledge Integration manager / Младший аналитик	OKKAM	https://hh.ru/vacancy/102778381?hhtmFrom=favorite_vacancy_list	Получил автоответ	Да	Отказ	Без объяснения причин
27	27.06.2024	Аналитик-программист (Python)	EMCO	https://hh.ru/vacancy/102770839?hhtmFrom=favorite_vacancy_list		Да	Ожидание	
28	27.06.2024	Ассистент 	SOCIALIST	https://hh.ru/vacancy/102712054?hhtmFrom=favorite_vacancy_list	Получил автоответ	Да	Отказ	Без объяснения причин
29	27.06.2024	Педагог/ведущий открытых уроков в онлайн школу	Компьютерная школа IT-Compot	https://hh.ru/vacancy/100572559?hhtmFrom=favorite_vacancy_list	Да	Да	Приглашение	Ваше резюме вызвало интерес) для дальнейших коммуникаций, заполните, пожалуйста, анкету
30	27.06.2024	Junior Analyst	ООО Нью Вэйв Гейминг	https://hh.ru/vacancy/101272088?hhtmFrom=vacancy_search_list	Вакансия в архиве	Да	Вакансия в архиве	Вакансия перенесена в архив 
31	28.06.2024	Аналитик данных / Аналитик Power BI / Data Scientist	NF Group	https://hh.ru/vacancy/101851955?hhtmFrom=favorite_vacancy_list		Да	Приглашение	
32	28.06.2024	Data Scientist	АШАН Ритейл Россия	https://hh.ru/vacancy/97188398?hhtmFrom=favorite_vacancy_list	Вакансия в архиве	Да	Вакансия в архиве	Вакансия перенесена в архив
33	28.06.2024	Data Scientist	Ozon Информационные технологии	https://hh.ru/vacancy/102772154?hhtmFrom=favorite_vacancy_list		Да	Ожидание	
34	28.06.2024	Junior Data Scientist (NLP)	IMOT.IO	https://hh.ru/vacancy/102858322?hhtmFrom=favorite_vacancy_list		Да	Ожидание	
35	28.06.2024	Администратор Jira	Softintermob LLC	https://hh.ru/vacancy/102297779?hhtmFrom=favorite_vacancy_list	Да	Да	Приглашение	Ваше резюме привлекло наше внимание - мы уверены, что вместе мы можем создавать нечто удивительное.
36	28.06.2024	Помощник аналитика	Ukids	https://hh.ru/vacancy/101632413?hhtmFrom=favorite_vacancy_list	Получил автоответ	Да	Отказ	Без объяснения причин 
37	28.06.2024	Аналитик данных	ДИВАН.РУ	https://hh.ru/vacancy/101879584?hhtmFrom=chat	Вакансия в архиве	Да	Вакансия в архиве	Вакансия перенесена в архив 
38	28.06.2024	Промпт-инженер	IQIDO	https://hh.ru/vacancy/101781307?hhtmFrom=favorite_vacancy_list	Вакансия в архиве	Да	Вакансия в архиве	Вакансия перенесена в архив 
39	28.06.2024	Специалист по разметке данных	Relocate UAE	https://hh.ru/vacancy/101790893?hhtmFrom=favorite_vacancy_list	Вакансия в архиве	Да	Вакансия в архиве	Вакансия перенесена в архив 
40	28.06.2024	Data engineer (junior)	АО ОМК ИТ	https://hh.ru/vacancy/101407077?hhtmFrom=favorite_vacancy_list	Вакансия в архиве	Да	Вакансия в архиве	Вакансия перенесена в архив 
41	01.07.2024	Бизнес-аналитик каналов продаж	ПАО Европлан	https://hh.ru/vacancy/102661229?hhtmFrom=favorite_vacancy_list	Получил автоответ	Да	Отказ	Без объяснения причин 
42	01.07.2024	Преподаватель на курс по Аналитике данных	Бруноям	https://hh.ru/vacancy/102570780?hhtmFrom=favorite_vacancy_list	Да	Да	Отказ	Они уже нашли преподавателя
43	01.07.2024	Аналитик данных (Python)	Лига Цифровой Экономики	https://hh.ru/vacancy/102456009?hhtmFrom=favorite_vacancy_list	Получил автоответ	Да	Отказ	Без объяснения причин 
44	01.07.2024	Data Science/ML (преподаватель курса)	TeachMeSkills	https://hh.ru/vacancy/101757254?hhtmFrom=favorite_vacancy_list	Вакансия в архиве	Да	Вакансия в архиве	Вакансия перенесена в архив 
45	01.07.2024	Python-разработчик (MLOps)	RUTUBE	https://hh.ru/vacancy/102287902?hhtmFrom=favorite_vacancy_list		Да	Ожидание	
46	01.07.2024	Data Scientist	Фертоинг	https://hh.ru/vacancy/99562277?hhtmFrom=favorite_vacancy_list	Получил автоответ	Да	Отказ	Без объяснения причин 
47	01.07.2024	Аналитик данных (департамент маркетинга)	FONBET	https://hh.ru/vacancy/102294296?hhtmFrom=favorite_vacancy_list	Получил автоответ	Да	Отказ	Без объяснения причин 
48	01.07.2024	ML-разработчик	НСК	https://hh.ru/vacancy/100608296?hhtmFrom=favorite_vacancy_list	Вакансия в архиве	Да	Вакансия в архиве	Вакансия перенесена в архив 
49	01.07.2024	BI-разработчик	ТехАудит	https://hh.ru/vacancy/102621777?hhtmFrom=favorite_vacancy_list		Да	Ожидание	
50	01.07.2024	Преподаватель курса программирования (Python)	Профилум	https://hh.ru/vacancy/102292181?hhtmFrom=favorite_vacancy_list	Да	Да	Отказ	Уже нашли преподавателя 
